PotID	PlantNum_Initial	FH_Num	FecundityNum	SurvivalNum	Mortality	6_12_total_num	6_12_late_germ_num	6_12_duplicate_num	Damaged_pot
148	20	0	16	16	4	18	0	0	NA
149	19	2	0	2	17	18	0	0	NA
150	18	4	0	4	14	16	0	0	NA
151	19	13	5	18	1	18	0	0	NA
152	20	18	0	18	2	20	0	0	NA
153	17	7	2	9	8	17	0	0	NA
154	18	6	0	6	12	19	1	0	NA
155	20	17	0	17	3	21	2	0	NA
156	20	18	0	18	2	20	1	0	NA
157	20	11	6	17	3	20	0	0	NA
158	19	0	0	0	19	18	0	0	NA
159	20	0	18	18	2	19	0	0	NA
160	20	0	17	17	3	20	0	0	NA
161	20	0	11	11	9	19	0	0	NA
162	20	0	15	15	5	20	0	0	NA
163	20	0	0	0	20	18	0	0	NA
164	20	12	0	12	8	19	0	0	NA
165	20	0	0	0	20	19	0	0	NA
166	20	0	0	0	20	18	0	0	damaged
167	18	3	7	10	8	17	1	0	NA
168	20	17	0	17	3	18	0	0	NA
169	19	0	2	2	17	19	0	0	NA
170	16	0	5	5	11	17	0	0	NA
171	19	2	15	17	2	18	0	0	NA
172	18	0	12	12	6	16	0	0	NA
173	19	0	20	20	-1	20	0	0	NA
174	17	0	0	0	17	16	0	0	NA
175	17	2	11	13	4	16	0	0	NA
176	18	4	1	5	13	17	0	0	NA
177	17	6	0	6	11	17	0	0	NA
178	14	0	0	0	14	14	0	0	NA
179	20	5	11	16	4	19	0	0	NA
180	18	6	0	6	12	16	0	0	NA
181	17	0	17	17	0	15	0	0	NA
182	17	3	0	3	14	18	1	0	NA
183	3	2	1	3	0	4	1	0	NA
184	17	13	0	13	4	16	0	0	NA
185	16	2	0	2	14	16	0	0	NA
186	15	0	0	0	15	8	0	0	damaged
187	15	8	0	8	7	15	1	0	NA
188	18	0	15	15	3	16	0	0	NA
189	14	13	0	13	1	12	0	0	NA
190	17	1	16	17	0	16	0	0	NA
191	7	5	0	5	2	8	0	0	NA
192	18	14	0	14	4	17	0	0	NA
193	16	9	0	9	7	15	0	0	NA
194	20	4	0	4	16	18	0	0	NA
195	13	5	0	5	8	11	0	0	NA
196	20	14	0	14	6	20	0	2	NA
197	15	0	12	12	3	16	0	0	NA
198	17	13	0	13	4	30	17	0	NA
199	18	16	0	16	2	17	0	0	NA
200	4	3	0	3	1	4	0	0	damaged
201	19	7	0	7	12	18	0	0	damaged
202	18	0	8	8	10	17	0	0	damaged
203	19	13	0	13	6	19	0	0	NA
204	20	1	18	19	1	20	2	0	NA
205	16	0	18	18	-2	16	0	1	NA
206	16	0	9	9	7	18	0	0	NA
207	18	4	13	17	1	18	0	0	NA
208	20	1	25	26	-6	20	0	0	NA
209	19	0	0	0	19	20	1	0	damaged
210	16	10	0	10	6	19	3	0	NA
211	19	13	0	13	6	17	0	0	NA
212	20	12	0	12	8	27	9	0	NA
213	19	0	1	1	18	20	0	0	damaged
214	20	0	17	17	3	19	0	0	damaged
215	20	14	0	14	6	20	0	0	NA
216	15	0	11	11	4	14	0	0	NA
217	17	0	0	0	17	7	0	0	damaged
218	16	16	0	16	0	16	0	0	NA
219	20	18	0	18	2	20	0	0	NA
220	17	15	0	15	2	17	0	0	NA
221	19	16	0	16	3	19	0	2	NA
222	19	15	0	15	4	18	0	0	NA
223	18	0	17	17	1	16	0	0	NA
224	19	15	3	18	1	18	0	0	NA
225	20	0	5	5	15	16	3	0	NA
226	18	13	0	13	5	18	0	0	NA
227	20	12	0	12	8	18	0	0	NA
228	11	7	0	7	4	9	0	0	NA
229	20	11	0	11	9	18	0	0	NA
230	20	0	0	0	20	19	0	0	damaged
231	20	0	7	7	13	20	1	0	NA
232	19	0	0	0	19	18	0	0	damaged
233	19	16	0	16	3	22	3	0	damaged
234	13	8	0	8	5	14	5	0	NA
235	20	0	5	5	15	6	0	0	NA
236	12	0	0	0	12	4	2	0	NA
237	20	12	0	12	8	20	0	0	NA
238	20	15	0	15	5	21	0	1	NA
239	20	19	0	19	1	20	1	1	NA
240	19	13	0	13	6	19	0	0	NA
241	10	3	2	5	5	11	2	0	NA
242	13	0	0	0	13	12	0	0	NA
243	18	0	15	15	3	18	0	0	NA
244	19	0	0	0	19	19	0	0	NA
245	20	0	10	10	10	20	0	0	NA
246	17	0	3	3	14	14	0	0	damaged
247	20	0	7	7	13	22	1	1	damaged
248	5	3	0	3	2	5	0	0	NA
249	16	0	13	13	3	16	0	0	NA
250	19	0	0	0	19	19	0	0	NA
251	18	0	17	17	1	18	0	0	NA
252	18	0	0	0	18	18	0	0	NA
253	14	0	0	0	14	12	0	0	NA
254	20	0	18	18	2	19	0	0	NA
255	12	9	2	11	1	12	0	0	NA
256	20	12	0	12	8	20	0	0	NA
257	20	0	14	14	6	16	0	0	NA
258	20	8	0	8	12	20	0	0	NA
259	17	9	6	15	2	17	0	0	NA
260	16	16	0	16	0	17	0	1	NA
261	20	0	24	24	-4	20	0	0	NA
262	17	4	0	4	13	15	2	0	NA
263	18	0	0	0	18	3	1	0	damaged
264	20	0	16	16	4	19	0	0	damaged
265	18	0	7	7	11	12	0	0	NA
266	20	14	0	14	6	16	0	0	damaged
267	20	0	0	0	20	15	0	0	NA
268	20	20	0	20	0	20	0	0	NA
269	19	0	0	0	19	10	0	0	NA
270	19	8	0	8	11	20	0	0	NA
271	10	9	0	9	1	11	0	0	NA
272	20	9	0	9	11	20	0	0	NA
