Date_measured_harvested	Pot Number	Total Slique Number	Slique Length (mm)	Seed_Num_estimate	Notes
7/3/18	351	8	12.5	100	
7/3/18	351	12	10.12	121.44	
7/3/18	351	8	10.99	87.92	
7/3/18	351	13	8.11	105.43	
7/3/18	355	4	8.68	34.72	
7/3/18	355	7	6.88	48.16	
7/3/18	356	2	6.79	13.58	
7/3/18	356	8	9.48	75.84	
7/3/18	356	3	7.23	21.69	
7/3/18	356	2	7.91	15.82	
7/3/18	359	6	7.35	44.1	
7/3/18	359	4	7.66	30.64	
7/3/18	359	3	5.18	15.54	
7/3/18	231	11	11.8	129.8	
7/3/18	231	4	9.27	37.08	
7/3/18	231	11	9.7	106.7	
7/3/18	231	9	9.84	88.56	
7/3/18	365	9	11.63	104.67	
7/3/18	365	6	8.57	51.42	
7/3/18	365	3	7.93	23.79	
7/3/18	365	4	9.39	37.56	
7/3/18	365	6	6.45	38.7	
7/3/18	365	16	9.57	153.12	
7/3/18	365	4	10.34	41.36	
7/3/18	365	4	9.11	36.44	
7/3/18	365	4	9.24	36.96	
7/3/18	366	7	6.9	48.3	
7/3/18	366	8	7.84	62.72	
7/3/18	366	8	8.58	68.64	
7/3/18	366	5	9.17	45.85	
7/3/18	366	9	9.56	86.04	
7/3/18	366	4	7.13	28.52	
7/3/18	366	9	7.04	63.36	
7/3/18	366	12	9.13	109.56	
7/3/18	366	18	9.58	172.44	
7/3/18	366	2	6.48	12.96	
7/3/18	366	9	8.72	78.48	
7/3/18	366	3	6.02	18.06	
7/3/18	370	7	10.18	71.26	
7/3/18	370	10	9.12	91.2	
7/3/18	372	20	9.16	183.2	
7/3/18	372	6	8.69	52.14	
7/3/18	372	19	9.7	184.3	
7/3/18	372	6	10.31	61.86	
7/3/18	372	14	11.25	157.5	
7/3/18	372	22	10.47	230.34	
7/3/18	375	9	9.67	87.03	
7/3/18	384	7	7.87	55.09	
7/3/18	384	10	8.04	80.4	
7/3/18	384	9	6.41	57.69	
7/3/18	384	7	7	49	
7/3/18	382	19	10.38	197.22	
7/3/18	382	18	10.83	194.94	
7/3/18	381	9	10.79	97.11	
7/3/18	381	11	8.19	90.09	
7/3/18	381	8	7.09	56.72	
7/3/18	381	16	10.95	175.2	
7/3/18	381	31	11.18	346.58	
7/3/18	385	15	9.65	144.75	
7/3/18	385	16	8.96	143.36	
7/3/18	385	7	9.43	66.01	
7/3/18	385	9	5.92	53.28	
7/3/18	385	10	10.26	102.6	
7/3/18	385	10	7	70	
7/3/18	385	19	9.16	174.04	
7/3/18	387	31	11.69	362.39	
7/3/18	387	13	12	156	
7/3/18	387	11	11.44	125.84	
7/3/18	387	12	13.95	167.4	
7/3/18	387	7	10.53	73.71	
7/3/18	387	43	12.29	528.47	
7/3/18	387	8	10.17	81.36	
7/3/18	388	14	9.56	133.84	
7/3/18	388	22	11.71	257.62	
7/3/18	388	10	11.41	114.1	
7/3/18	389	9	10.86	97.74	
7/3/18	389	12	13.4	160.8	
7/3/18	389	4	11.45	45.8	
7/3/18	389	5	8.74	43.7	
7/3/18	389	6	9.48	56.88	
7/3/18	389	11	9.24	101.64	
7/3/18	389	9	9.49	85.41	
7/3/18	389	9	8.92	80.28	
7/3/18	389	5	8	40	
7/3/18	389	4	8.12	32.48	
7/3/18	393	16	11.21	179.36	
7/3/18	393	28	10.06	281.68	
7/3/18	393	13	10.75	139.75	
7/3/18	391	4	9.14	36.56	
7/3/18	391	9	9.56	86.04	
7/3/18	391	6	7.53	45.18	
7/3/18	392	10	10.42	104.2	
7/3/18	392	8	10.01	80.08	
7/3/18	392	13	10.19	132.47	
7/3/18	392	10	9.13	91.3	
7/3/18	392	7	9.49	66.43	
7/3/18	392	14	8.73	122.22	
7/3/18	392	6	8.71	52.26	
7/3/18	392	6	8.57	51.42	
7/3/18	392	7	9.36	65.52	
7/3/18	402	10	12.57	125.7	
7/3/18	402	3	10.58	31.74	
7/3/18	409	21	12.74	267.54	
7/3/18	409	8	11.27	90.16	
7/3/18	409	6	12.19	73.14	
7/3/18	409	11	11.24	123.64	
7/3/18	409	11	10.54	115.94	
7/3/18	409	8	12.28	98.24	
7/3/18	409	7	11.32	79.24	
7/3/18	409	11	10.79	118.69	
7/3/18	410	7	9.55	66.85	
7/3/18	410	5	10.19	50.95	
7/3/18	416	9	10.83	97.47	
7/3/18	416	6	10.28	61.68	
7/3/18	435	5	7.96	39.8	
7/3/18	438	4	4.89	19.56	
7/3/18	438	8	7.39	59.12	
7/3/18	442	7	8.11	56.77	
7/3/18	443	6	9.66	57.96	
7/3/18	444	4	6.23	24.92	
7/3/18	444	2	10.32	20.64	
7/3/18	450	5	9.78	48.9	
7/3/18	450	6	9.24	55.44	
7/3/18	450	4	7.3	29.2	
7/3/18	450	8	8.01	64.08	
7/3/18	450	7	9.59	67.13	
7/3/18	453	7	7.36	51.52	
7/3/18	453	2	6.51	13.02	
7/3/18	456	6	7.85	47.1	
7/3/18	457	4	7.72	30.88	
7/3/18	457	1	4.13	4.13	
7/3/18	461	16	8.57	137.12	
7/3/18	468	7	7.47	52.29	
7/3/18	472	4	7.84	31.36	
7/3/18	403	7	8.36	58.52	
7/3/18	122	6	10.59	63.54	
7/3/18	122	4	8.33	33.32	
7/3/18	122	4	9.31	37.24	
7/3/18	127	6	10.45	62.7	
7/3/18	127	8	12.02	96.16	
7/3/18	128	7	8.72	61.04	
7/3/18	128	3	9.86	29.58	
7/3/18	129	4	7.83	31.32	
7/3/18	130	15	8.63	129.45	
7/3/18	130	11	13.09	143.99	
7/3/18	130	10	9.75	97.5	
7/3/18	130	11	8.5	93.5	
7/3/18	130	7	9.97	69.79	
7/3/18	130	9	8.36	75.24	
7/3/18	133	7	9.84	68.88	
7/3/18	133	10	7.53	75.3	
7/3/18	133	6	9.63	57.78	
7/3/18	133	7	11.12	77.84	
7/3/18	134	2	6.17	12.34	
7/3/18	134	4	5.81	23.24	
7/3/18	134	5	6.18	30.9	
7/3/18	146	3	6.63	19.89	
7/3/18	146	2	6.17	12.34	
7/3/18	146	3	4.33	12.99	
7/3/18	146	2	6.35	12.7	
7/3/18	146	7	7.93	55.51	
7/3/18	148	2	9.31	18.62	
7/3/18	148	4	6.61	26.44	
7/3/18	148	2	9.32	18.64	
7/3/18	148	2	9.96	19.92	
7/3/18	157	3	8.11	24.33	
7/3/18	157	3	6.8	20.4	
7/3/18	157	4	6.34	25.36	
7/3/18	157	4	7.24	28.96	
7/3/18	157	5	8.31	41.55	
7/3/18	157	5	7.86	39.3	
7/3/18	162	4	5.01	20.04	
7/3/18	162	2	4.29	8.58	
7/3/18	162	7	8.83	61.81	
7/3/18	162	3	6.55	19.65	
7/3/18	162	4	7.17	28.68	
7/3/18	162	4	6.29	25.16	
7/3/18	162	4	6.06	24.24	
7/3/18	162	5	6.98	34.9	
7/3/18	162	3	6.68	20.04	
7/3/18	162	6	6.18	37.08	
7/3/18	162	4	4.57	18.28	
7/3/18	162	5	6.87	34.35	
7/3/18	162	4	6.38	25.52	
7/3/18	162	6	5.55	33.3	
7/3/18	162	2	3.44	6.88	
7/3/18	170	11	9.23	101.53	
7/3/18	172	57	13.64	777.48	
7/3/18	172	46	11.24	517.04	
7/3/18	172	29	12.7	368.3	
7/3/18	172	39	11.74	457.86	
7/3/18	172	10	8.37	83.7	
7/3/18	172	9	11.09	99.81	
7/3/18	172	79	14.02	1107.58	
7/3/18	171	13	8.21	106.73	
7/3/18	171	22	11.29	248.38	
7/3/18	171	67	11.07	741.69	
7/3/18	171	43	11.24	483.32	
7/3/18	171	23	11.32	260.36	
7/3/18	171	21	8.83	185.43	
7/3/18	171	55	14.36	789.8	
7/3/18	175	15	9.53	142.95	
7/3/18	175	11	12.39	136.29	
7/3/18	175	30	12.79	383.7	
7/3/18	175	9	11.39	102.51	
7/3/18	175	17	11.77	200.09	
7/3/18	179	19	13.14	249.66	
7/3/18	179	2	10.33	20.66	
7/3/18	179	9	9.21	82.89	
7/3/18	179	11	11.32	124.52	
7/3/18	179	7	12.11	84.77	
7/3/18	179	9	9.55	85.95	
7/3/18	179	3	9.91	29.73	
7/3/18	179	11	9.81	107.91	
7/10/18	364	12	10.08	120.96	
7/10/18	364	10	10.05	100.5	
7/10/18	364	12	12.33	147.96	
7/10/18	365	6	10.55	63.3	
7/10/18	365	4	6.04	24.16	
7/10/18	365	2	4.56	9.12	
7/10/18	365	5	9.05	45.25	
7/10/18	365	4	7.31	29.24	
7/10/18	365	6	10.3	61.8	
7/10/18	365	4	6.44	25.76	
7/10/18	365	2	6.93	13.86	
7/10/18	366	6	8.22	49.32	
7/10/18	366	6	10.26	61.56	
7/10/18	366	9	8.84	79.56	
7/10/18	366	4	7.2	28.8	
7/10/18	372	7	9.9	69.3	
7/10/18	372	14	12.16	170.24	
7/10/18	372	18	9.64	173.52	
7/10/18	372	12	10.8	129.6	
7/10/18	372	12	10.88	130.56	
7/10/18	372	7	10.98	76.86	
7/10/18	372	13	10.43	135.59	
7/10/18	372	5	10.38	51.9	
7/10/18	379	13	11.33	147.29	
7/10/18	380	8	13.07	104.56	
7/10/18	380	7	9.07	63.49	
7/10/18	380	7	8.52	59.64	
7/10/18	380	13	11	143	
7/10/18	380	27	11.56	312.12	
7/10/18	380	9	9.99	89.91	
7/10/18	380	4	11.61	46.44	
7/10/18	380	7	9.48	66.36	
7/10/18	380	3	11.65	34.95	
7/10/18	380	5	4.95	24.75	
7/10/18	380	6	8.38	50.28	
7/10/18	380	6	9.09	54.54	
7/10/18	380	4	8.42	33.68	
7/10/18	380	4	4.61	18.44	
7/10/18	380	5	7.48	37.4	
7/10/18	381	3	5.84	17.52	
7/10/18	382	9	9.42	84.78	
7/10/18	384	12	9.95	119.4	
7/10/18	384	5	7.09	35.45	
7/10/18	384	7	9.37	65.59	
7/10/18	384	15	11.41	171.15	
7/10/18	384	15	8.71	130.65	
7/10/18	384	6	7.81	46.86	
7/10/18	384	17	9.09	154.53	
7/10/18	384	8	7.07	56.56	
7/10/18	384	9	8.51	76.59	
7/10/18	384	6	7.86	47.16	
7/10/18	384	6	7.51	45.06	
7/10/18	384	5	8.25	41.25	
7/10/18	384	6	6.99	41.94	
7/10/18	384	5	7.71	38.55	
7/10/18	384	3	8.83	26.49	
7/10/18	385	20	10.6	212	
7/10/18	385	24	10.88	261.12	
7/10/18	385	5	8.41	42.05	
7/10/18	387	5	12.05	60.25	
7/10/18	387	6	9.94	59.64	
7/10/18	387	8	9.73	77.84	
7/10/18	387	10	11.39	113.9	
7/10/18	387	7	11.41	79.87	
7/10/18	387	6	9.13	54.78	
7/10/18	391	4	11.72	46.88	
7/10/18	391	5	11.95	59.75	
7/10/18	392	4	8.39	33.56	
7/10/18	393	10	9.5	95	
7/10/18	393	13	8.77	114.01	
7/10/18	393	27	11.31	305.37	
7/10/18	393	15	10.99	164.85	
7/10/18	393	6	9.81	58.86	
7/10/18	393	13	9.68	125.84	
7/10/18	393	7	7.48	52.36	
7/10/18	393	11	10.66	117.26	
7/10/18	393	5	10.97	54.85	
7/10/18	403	5	9.18	45.9	
7/10/18	403	2	7.09	14.18	
7/10/18	403	3	5.22	15.66	
7/10/18	403	2	9.18	18.36	
7/10/18	403	2	6.71	13.42	
7/10/18	403	1	6.88	6.88	
7/10/18	404	11	10.69	117.59	
7/10/18	404	12	11.04	132.48	
7/10/18	404	7	11.03	77.21	
7/10/18	404	9	10.14	91.26	
7/10/18	404	8	7.98	63.84	
7/10/18	404	7	10.44	73.08	
7/10/18	404	5	9.74	48.7	
7/10/18	404	7	9.73	68.11	
7/10/18	404	9	11.17	100.53	
7/10/18	404	5	6.62	33.1	
7/10/18	404	7	10.06	70.42	
7/10/18	404	6	8.89	53.34	
7/10/18	404	5	8.11	40.55	
7/10/18	404	6	9.05	54.3	
7/10/18	404	4	10.36	41.44	
7/10/18	408	28	14.8	414.4	
7/10/18	409	27	12.43	335.61	
7/10/18	409	23	13.11	301.53	
7/10/18	409	8	11.78	94.24	
7/10/18	412	7	8.58	60.06	
7/10/18	412	9	9.88	88.92	
7/10/18	412	7	10.18	71.26	
7/10/18	414	4	9.14	36.56	
7/10/18	414	6	9.08	54.48	
7/10/18	414	15	9.11	136.65	
7/10/18	414	5	8.28	41.4	
7/10/18	414	4	6.55	26.2	
7/10/18	418	11	12.5	137.5	
7/10/18	418	14	12.42	173.88	
7/10/18	418	14	11.41	159.74	
7/10/18	418	2	8.81	17.62	
7/10/18	418	14	12.79	179.06	
7/10/18	418	11	11.27	123.97	
7/10/18	418	11	13.23	145.53	
7/10/18	418	10	13.24	132.4	
7/10/18	418	8	9.8	78.4	
7/10/18	418	7	11.48	80.36	
7/10/18	418	6	6.05	36.3	
7/10/18	419	13	12.04	156.52	
7/10/18	422	2	8.6	17.2	
7/10/18	422	5	8.54	42.7	
7/10/18	435	9	11.38	102.42	
7/10/18	446	9	12.09	108.81	
7/10/18	446	11	12.49	137.39	
7/10/18	446	10	11.02	110.2	
7/10/18	446	11	12.4	136.4	
7/10/18	446	10	10.66	106.6	
7/10/18	446	12	12.52	150.24	
7/10/18	446	13	11.67	151.71	
7/10/18	446	7	11.03	77.21	
7/10/18	446	10	12.69	126.9	
7/10/18	446	10	11.27	112.7	
7/10/18	446	10	13.03	130.3	
7/10/18	446	7	11.63	81.41	
7/10/18	446	5	11.29	56.45	
7/10/18	452	7	10.16	71.12	
7/10/18	452	4	9.66	38.64	
7/10/18	452	3	11.16	33.48	
7/10/18	456	9	11.94	107.46	
7/10/18	463	7	7.51	52.57	
7/10/18	468	7	12.22	85.54	
7/10/18	468	6	10.12	60.72	
7/10/18	468	2	7.75	15.5	
7/10/18	476	8	11.85	94.8	
7/10/18	476	9	11.06	99.54	
7/10/18	476	12	11.62	139.44	
7/10/18	476	8	11.16	89.28	
7/10/18	476	13	11.75	152.75	
7/10/18	476	12	12.14	145.68	
7/10/18	476	10	12.89	128.9	
7/10/18	476	9	7.58	68.22	
7/10/18	476	6	11.68	70.08	
7/10/18	476	6	10.78	64.68	
7/10/18	476	6	10.89	65.34	
7/10/18	476	6	9.83	58.98	
7/10/18	479	11	8.52	93.72	
7/10/18	479	8	9.65	77.2	
7/10/18	479	10	9.54	95.4	
7/10/18	479	9	7.38	66.42	
7/10/18	479	7	9.66	67.62	
7/10/18	479	9	9.66	86.94	
7/10/18	479	7	9.6	67.2	
7/10/18	479	5	8.34	41.7	
7/10/18	479	4	9.68	38.72	
7/10/18	479	7	11.42	79.94	
7/10/18	479	4	9.46	37.84	
7/10/18	479	7	9.28	64.96	
7/10/18	480	13	13.42	174.46	
7/10/18	480	7	9.54	66.78	
7/10/18	480	9	11.4	102.6	
7/10/18	480	5	11.42	57.1	
7/10/18	480	6	8.97	53.82	
7/10/18	128	4	12.1	48.4	
7/10/18	128	4	10.11	40.44	
7/10/18	128	5	12.63	63.15	
7/10/18	130	10	9.82	98.2	
7/10/18	134	4	7.05	28.2	
7/10/18	134	3	5.17	15.51	
7/10/18	134	3	7.4	22.2	
7/10/18	134	3	6.49	19.47	
7/10/18	134	3	4.56	13.68	
7/10/18	134	3	7.27	21.81	
7/10/18	134	3	5.16	15.48	
7/10/18	134	3	6	18	
7/10/18	146	4	10.38	41.52	
7/10/18	146	4	7.57	30.28	
7/10/18	170	36	11.89	428.04	
7/10/18	170	7	14.54	101.78	
7/10/18	171	140	16.3	2282	
7/10/18	171	74	13.76	1018.24	
7/10/18	171	70	12.9	903	
7/10/18	171	30	12.65	379.5	
7/10/18	171	44	12.89	567.16	
7/10/18	171	23	11.68	268.64	
7/10/18	171	22	12.89	283.58	
7/10/18	171	13	11.22	145.86	
7/10/18	172	68	12.85	873.8	
7/10/18	172	8	15.15	121.2	
7/10/18	172	8	11.62	92.96	
7/10/18	173	25	11.59	289.75	
7/10/18	173	19	10.76	204.44	
7/10/18	173	21	12.43	261.03	
7/10/18	173	20	10.68	213.6	
7/10/18	173	18	13.03	234.54	
7/10/18	173	21	11.62	244.02	
7/10/18	173	9	13.4	120.6	
7/10/18	173	46	12.11	557.06	
7/10/18	173	20	11.91	238.2	
7/10/18	173	40	12.91	516.4	
7/10/18	173	34	12.54	426.36	
7/10/18	173	24	12.95	310.8	
7/10/18	173	30	11.99	359.7	
7/10/18	173	27	11.39	307.53	
7/10/18	173	11	9.94	109.34	
7/10/18	173	12	9.59	115.08	
7/10/18	173	26	11.15	289.9	
7/10/18	173	28	12.57	351.96	
7/10/18	173	15	11.22	168.3	
7/10/18	173	11	10.39	114.29	
7/10/18	175	16	12.82	205.12	
7/10/18	175	9	14.23	128.07	
7/10/18	175	11	13.68	150.48	
7/10/18	175	8	12.82	102.56	
7/10/18	175	8	11.48	91.84	
7/10/18	175	5	12.49	62.45	
7/10/18	179	3	8.66	25.98	
7/10/18	179	13	11.61	150.93	
7/10/18	179	8	13.24	105.92	
7/10/18	206	5	7.37	36.85	
7/10/18	206	7	8.99	62.93	
7/10/18	206	6	9.93	59.58	
7/10/18	206	9	8.84	79.56	
7/10/18	206	4	7.67	30.68	
7/10/18	207	31	13.45	416.95	
7/10/18	207	19	11.69	222.11	
7/10/18	207	28	11.93	334.04	
7/10/18	207	10	8.22	82.2	
7/10/18	207	10	13.53	135.3	
7/10/18	207	18	10.42	187.56	
7/10/18	207	12	11.29	135.48	
7/10/18	207	12	12.64	151.68	
7/10/18	207	8	8.77	70.16	
7/10/18	207	6	10.89	65.34	
7/10/18	207	4	7.57	30.28	
7/10/18	207	4	12.62	50.48	
7/10/18	207	4	9.29	37.16	
7/10/18	214	4	9.48	37.92	
7/10/18	214	3	6.62	19.86	
7/10/18	216	10	10.93	109.3	
7/10/18	216	7	9.29	65.03	
7/10/18	224	9	8.66	77.94	
7/10/18	224	5	10.05	50.25	
7/10/18	235	18	11.03	198.54	
7/10/18	235	28	8.51	238.28	
7/10/18	117	39	13.39	522.21	
7/10/18	117	19	13.28	252.32	
7/10/18	115	2	9.14	18.28	
7/10/18	115	3	8.93	26.79	
7/10/18	115	3	6.84	20.52	
7/10/18	103	5	10.67	53.35	
7/10/18	103	2	4.92	9.84	
7/10/18	103	2	6.39	12.78	
7/10/18	103	2	6.24	12.48	
7/10/18	103	2	8.05	16.1	
7/10/18	102	14	12.69	177.66	
7/10/18	102	11	10.69	117.59	
7/10/18	102	14	12.27	171.78	
7/10/18	102	6	11.87	71.22	
7/10/18	102	9	11.8	106.2	
7/10/18	94	14	11.64	162.96	
7/10/18	94	2	11.01	22.02	
7/10/18	90	8	11.3	90.4	
7/10/18	88	8	10.42	83.36	
7/10/18	88	8	12.36	98.88	
7/10/18	88	5	7.48	37.4	
7/10/18	88	9	11.6	104.4	
7/10/18	88	8	11.34	90.72	
7/10/18	88	6	10.99	65.94	
7/10/18	88	7	11.97	83.79	
7/10/18	88	5	12.1	60.5	
7/10/18	88	9	12.87	115.83	
7/10/18	88	5	10.72	53.6	
7/10/18	88	9	9	81	
7/10/18	88	6	8.29	49.74	
7/10/18	88	2	4.73	9.46	
7/10/18	84	4	10.07	40.28	
7/10/18	84	5	10.73	53.65	
7/10/18	84	4	12.81	51.24	
7/10/18	83	4	9.31	37.24	
7/10/18	83	2	7.92	15.84	
7/10/18	83	2	6.87	13.74	
7/10/18	81	21	10.59	222.39	
7/10/18	81	12	10.36	124.32	
7/10/18	81	9	9.65	86.85	
7/10/18	81	6	9.18	55.08	
7/10/18	81	7	10.73	75.11	
7/10/18	81	8	11.08	88.64	
7/10/18	81	6	9.03	54.18	
7/10/18	81	4	10.16	40.64	
7/10/18	73	6	11.71	70.26	
7/10/18	73	6	9.63	57.78	
7/10/18	73	5	11.3	56.5	
7/10/18	73	6	11.59	69.54	
7/10/18	73	7	12.14	84.98	
7/10/18	73	3	8.11	24.33	
7/10/18	73	5	11.66	58.3	
7/10/18	73	4	8.32	33.28	
7/10/18	335	1	3.74	3.74	
7/10/18	335	6	11.34	68.04	
7/10/18	335	1	4.72	4.72	
7/10/18	335	4	10.82	43.28	
7/10/18	335	10	12.01	120.1	
7/10/18	335	16	10.13	162.08	
7/10/18	335	5	10.72	53.6	
7/10/18	335	6	7.04	42.24	
7/10/18	335	2	9.65	19.3	
7/10/18	335	6	9.54	57.24	
7/10/18	335	11	9.64	106.04	
7/10/18	335	2	6.61	13.22	
7/10/18	339	11	12.44	136.84	
7/10/18	339	3	3.12	9.36	
7/10/18	339	4	8.07	32.28	
7/10/18	339	4	6.83	27.32	
7/10/18	339	6	11.2	67.2	
7/10/18	339	3	11.66	34.98	
7/10/18	339	3	5.91	17.73	
7/10/18	339	7	11.36	79.52	
7/10/18	339	3	9.43	28.29	
7/10/18	339	2	11.32	22.64	
7/10/18	340	10	10.79	107.9	
7/10/18	340	3	7.62	22.86	
7/10/18	340	3	9.19	27.57	
7/10/18	340	4	6.61	26.44	
7/10/18	340	3	8.34	25.02	
7/10/18	342	2	4.81	9.62	
7/10/18	342	3	6.21	18.63	
7/10/18	342	2	7.69	15.38	
7/10/18	342	8	8.44	67.52	
7/10/18	342	8	7.36	58.88	
7/10/18	342	8	8.23	65.84	
7/10/18	342	9	9.77	87.93	
7/10/18	342	5	7.73	38.65	
7/10/18	342	8	9.06	72.48	
7/10/18	342	5	9.94	49.7	
7/10/18	342	3	7.52	22.56	
7/10/18	346	4	4.32	17.28	
7/10/18	346	5	4.79	23.95	
7/10/18	346	1	5.88	5.88	
7/10/18	349	3	7.93	23.79	
7/10/18	351	17	6.79	115.43	
7/10/18	351	5	6.19	30.95	
7/10/18	351	11	8.66	95.26	
7/10/18	351	4	8.17	32.68	
7/10/18	357	6	5.79	34.74	
7/10/18	359	2	5.28	10.56	
7/10/18	359	2	6.27	12.54	
7/10/18	15	3	9.92	29.76	
7/10/18	16	3	5.2	15.6	
7/10/18	17	5	11.28	56.4	
7/10/18	17	2	7.96	15.92	
7/10/18	17	1	8.26	8.26	
7/10/18	17	1	10.03	10.03	
7/10/18	17	3	6.6	19.8	
7/10/18	17	3	3.41	10.23	
7/10/18	17	19	12.31	233.89	
7/10/18	17	18	10.99	197.82	
7/10/18	17	8	12.14	97.12	
7/10/18	17	5	8.47	42.35	
7/10/18	18	4	8.75	35	
7/10/18	19	3	10.36	31.08	
7/10/18	24	2	9.17	18.34	
7/10/18	24	3	10.13	30.39	
7/10/18	24	1	9.61	9.61	
7/10/18	24	9	4.02	36.18	
7/10/18	24	3	5.59	16.77	
7/10/18	24	4	7.13	28.52	
7/10/18	24	5	6.68	33.4	
7/10/18	24	1	4.29	4.29	
7/10/18	25	2	3.89	7.78	
7/10/18	30	4	4.98	19.92	
7/10/18	30	2	5.88	11.76	
7/10/18	38	8	7.39	59.12	
7/10/18	38	3	5.77	17.31	
7/10/18	38	10	8.83	88.3	
7/10/18	38	10	6.11	61.1	
7/10/18	39	2	4.96	9.92	
7/10/18	39	2	5.57	11.14	
7/10/18	39	3	4.72	14.16	
7/10/18	39	5	5.81	29.05	
7/10/18	39	1	4.61	4.61	
7/10/18	39	2	6.37	12.74	
7/10/18	39	2	5.75	11.5	
7/10/18	48	8	9.52	76.16	
7/10/18	48	2	6.53	13.06	
7/10/18	56	1	4.11	4.11	
7/10/18	56	9	8.76	78.84	
7/10/18	56	2	11.03	22.06	
7/10/18	56	8	9.69	77.52	
7/10/18	56	7	7.74	54.18	
7/10/18	57	6	8.23	49.38	
7/10/18	57	2	6.26	12.52	
7/10/18	57	4	10.23	40.92	
7/10/18	57	2	7.01	14.02	
7/10/18	57	1	6.11	6.11	
7/10/18	61	4	10.49	41.96	
7/10/18	61	11	10.11	111.21	
7/10/18	61	23	12.33	283.59	
7/10/18	61	11	11.46	126.06	
7/10/18	61	3	10.68	32.04	
7/10/18	61	7	7.94	55.58	
7/10/18	61	2	10.92	21.84	
7/10/18	62	8	6.88	55.04	
7/10/18	64	4	11.09	44.36	
7/10/18	67	7	9.14	63.98	
7/10/18	70	4	7.05	28.2	
7/10/18	73	3	8.23	24.69	
7/10/18	73	4	8.87	35.48	
7/10/18	73	3	7.66	22.98	
7/10/18	73	2	5.49	10.98	
7/10/18	73	2	3.38	6.76	
7/10/18	73	6	7.76	46.56	
7/10/18	73	4	8.38	33.52	
7/10/18	73	3	6.44	19.32	
7/10/18	73	2	3.43	6.86	
7/10/18	73	4	4.93	19.72	
