"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","lines1","lines2","lines3","lines4","lines5","lines6","lines7","lines8","lines9","lines10","lines11","lines12","lines13","lines14","lines15","lines16","lines17","lines18","lines19","lines20","GermRating","PlantNum_Initial","CanopyArea","SPAD","SLA_Area","SLA_Wt","SLA_Wt_notes","SLA","FH_Wt","FH_Num","FT.5.29.30.18","FT.6.4.18","FT.6.8.18","FT.6.12.18","FT.6.15.18","FT.6.19.18","FT.6.21.18","FT.6.26.18","FT.6.29.18","FT.7.6.18","FT.7.10.18","Notes_for_FT","Notes_for_SLA_SPAD","cow.damage.from.photos","Damaged_pot","FH_Wtsqrt","FT1001_mean","FT1001_min","FT1001_max","FT1001_q90","FT1001_q10","FT1001_16_mean","FT1001_16_min","FT1001_16_max","FT1001_16_q90","FT1001_16_q10","FT1001_var","FT1001_16_var","FT1001plast_mean","FT1001plast_var","PC5dist_mean","tmin_meangro_mean","Min.Tmp.Cld.M_mean","groseason_mean","tmean_4_mean","Latitude_mean","Latitude_mean2","Latitude_q10","Latitude_var","Longitude_mean","Longitude_q90","Ngenotypes","meanKin","meanGenD","treeDiv"
345,"345-C-mono-1-C","C",5,"mono",1,"C","CS76774","","","","","","","","","","","","","","","","","","","","MostGerm",20,6.09,24.7,0.1,0.54,"",0.185,0.1001,12,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.316385840391127,67.708333335,67.708333335,67.708333335,67.708333335,67.708333335,65.66666667,65.66666667,65.66666667,65.66666667,65.66666667,0,0,-4.08333333,0,5.51733684093654,61.625,22,8,138,40.05,1604.0025,40.05,0,-4.65,-4.65,1,7.32260312387646,0,0
355,"355-C-mono-1-C","C",5,"mono",1,"C","CS77020","","","","","","","","","","","","","","","","","","","","MostGerm",19,2.93,NA,NA,NA,"",NA,0.0619,2,0,0,1,75,75,"75",75,75,75,75,75,"","Too small for SPAD","","",0.248797106092495,52.75,52.75,52.75,52.75,52.75,40,40,40,40,40,0,0,-25.5,0,5.18705283105515,80.5714285714286,-43,7,74,47.984,2302.464256,47.984,0,10.8719,10.8719,1,7.32260312387646,0,0
372,"372-D-mono-1-C","D",1,"mono",1,"C","CS77179","","","","","","","","","","","","","","","","","","","","MostGerm",20,33.19,25.5,0.21,0.703,"",0.299,0.5823,0,0,25,75,100,100,"100",100,100,100,100,100,"","Too small for SPAD","","",0.763085840518614,50.875,50.875,50.875,50.875,50.875,41.75,41.75,41.75,41.75,41.75,0,0,-18.25,0,4.31182341212135,52,-28,9,69,42.1,1772.41,42.1,0,-2.56,-2.56,1,7.32260312387646,0,0
400,"400-D-mono-1-S","D",2,"mono",1,"S","CS77107","","","","","","","","","","","","","","","","","","","","MostGerm",20,4.45,NA,0.07,0.35,"",0.2,0.2874,18,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.536097006147208,61.625,61.625,61.625,61.625,61.625,66.5,66.5,66.5,66.5,66.5,0,0,9.75,0,7.53343373088327,79.75,41,8,155,38.06,1448.5636,38.06,0,-4.38,-4.38,1,7.32260312387646,0,0
401,"401-D-mono-1-S","D",2,"mono",1,"S","CS77197","","","","","","","","","","","","","","","","","","","","MostGerm",19,16.13,34.9,0.38,1.013,"",0.375,0.3798,6,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.616279157525224,91.458333335,91.458333335,91.458333335,91.458333335,91.458333335,96.66666667,96.66666667,96.66666667,96.66666667,96.66666667,0,0,10.41666667,0,4.92892542933891,48.375,-1,8,99,40.93,1675.2649,40.93,0,-3.31,-3.31,1,7.32260312387646,0,0
404,"404-D-mono-1-S","D",2,"mono",1,"S","CS78841","","","","","","","","","","","","","","","","","","","","MostGerm",18,3.6,34,0.13,0.47,"",0.277,0.1089,0,0,0,0,0,0,"",0,50,75,100,100,"","Too small for SPAD","","",0.33,67,67,67,67,67,61,61,61,61,61,0,0,-12,0,7.85291820890923,68.6,20,10,118,41.95,1759.8025,41.95,0,-7.45,-7.45,1,7.32260312387646,0,0
428,"428-D-mono-1-C","D",3,"mono",1,"C","CS76409","","","","","","","","","","","","","","","","","","","","FewGerm",19,0.81,NA,0.08,0.239,"",0.335,0.074,9,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.272029410174709,88.16666668335,88.16666668335,88.16666668335,88.16666668335,88.16666668335,110.6666667,110.6666667,110.6666667,110.6666667,110.6666667,0,0,45.0000000333,0,6.43585996100691,53.5714285714286,-26,7,82,41.32,1707.3424,41.32,0,-1.34,-1.34,1,7.32260312387646,0,0
429,"429-D-mono-1-S","D",3,"mono",1,"S","CS77190","","","","","","","","","","","","","","","","","","","","MostGerm",17,2.06,NA,0.05,0.154,"",0.325,0.0458,7,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.214009345590327,71.375,71.375,71.375,71.375,71.375,57,57,57,57,57,0,0,-28.75,0,6.07105917298072,70.4444444444444,-12,9,68,42.38,1796.0644,42.38,0,1.73,1.73,1,7.32260312387646,0,0
430,"430-D-mono-1-S","D",3,"mono",1,"S","CS76978","","","","","","","","","","","","","","","","","","","","MostGerm",18,2.48,NA,0.05,0.187,"",0.267,0.1283,9,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.358189893771446,73.79166666665,73.79166666665,73.79166666665,73.79166666665,73.79166666665,70.25,70.25,70.25,70.25,70.25,0,0,-7.0833333333,0,3.96483434261191,84.4,-201,5,33,51.36,2637.8496,51.36,0,82.59,82.59,1,7.32260312387646,0,0
431,"431-D-mono-1-C","D",3,"mono",1,"C","CS77190","","","","","","","","","","","","","","","","","","","","MostGerm",20,6.97,NA,0.11,0.239,"",0.46,0.0641,0,0,0,0,0,0,"",0,0,25,25,25,"","Too small for SPAD","","",0.253179778023443,71.375,71.375,71.375,71.375,71.375,57,57,57,57,57,0,0,-28.75,0,6.07105917298072,70.4444444444444,-12,9,68,42.38,1796.0644,42.38,0,1.73,1.73,1,7.32260312387646,0,0
433,"433-D-mono-1-S","D",4,"mono",1,"S","CS76693","","","","","","","","","","","","","","","","","","","","MostGerm",13,4.3,31.2,0.16,0.539,"",0.297,0.1859,12,0,1,1,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.431161222746202,91.25,91.25,91.25,91.25,91.25,90.5,90.5,90.5,90.5,90.5,0,0,-1.5,0,10.8771980562938,63.3333333333333,-214,3,44,51.84,2687.3856,51.84,0,79.46,79.46,1,7.32260312387646,0,0
449,"449-D-mono-1-S","D",4,"mono",1,"S","CS76741","","","","","","","","","","","","","","","","","","","","MostGerm",14,4.77,25.1,0.14,0.453,"",0.309,0.1709,9,0,0,0,0,0,"",0,0,0,0,0,"","Too small for SPAD","","",0.413400532171888,64,64,64,64,64,63,63,63,63,63,0,0,-2,0,6.24819938974815,32.1428571428571,-8,7,94,36.97,1366.7809,36.97,0,-3.36,-3.36,1,7.32260312387646,0,0
