"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","lines1","lines2","lines3","lines4","lines5","lines6","lines7","lines8","lines9","lines10","lines11","lines12","lines13","lines14","lines15","lines16","lines17","lines18","lines19","lines20","GermRating","PlantNum_Initial","CanopyArea","SPAD","SLA_Area","SLA_Wt","SLA_Wt_notes","SLA","FH_Wt","FH_Num","FT.5.29.30.18","FT.6.4.18","FT.6.8.18","FT.6.12.18","FT.6.15.18","FT.6.19.18","FT.6.21.18","FT.6.26.18","FT.6.29.18","FT.7.6.18","FT.7.10.18","Notes_for_FT","Notes_for_SLA_SPAD","cow.damage.from.photos","Damaged_pot","FH_Wtsqrt","FT1001_mean","FT1001_min","FT1001_max","FT1001_q90","FT1001_q10","FT1001_16_mean","FT1001_16_min","FT1001_16_max","FT1001_16_q90","FT1001_16_q10","FT1001_var","FT1001_16_var","FT1001plast_mean","FT1001plast_var","PC5dist_mean","tmin_meangro_mean","Min.Tmp.Cld.M_mean","groseason_mean","tmean_4_mean","Latitude_mean","Latitude_q10","Latitude_var","Latitude_mean2","Longitude_mean","Longitude_q90","Ngenotypes","meanKin","treeDiv","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
94,"94-A-div-10-C","A",4,"div",10,"C","CS77004","CS76695","CS76693","CS76572","CS76979","CS77197","CS77196","CS77287","CS77190","CS77179","","","","","","","","","","","MostGerm",18,10.5,NA,NA,NA,"",NA,0.1701,4,1,0,1,1,1,"1",1,25,25,25,25,"","","","",0.412431812546026,73.516666666665,42.125,91.458333335,91.2708333335,50,68.225,32,96.66666667,91.341666667,40.775,328.373533962331,516.845756199753,-10.58333333333,195.746913587064,7.826947540035,67.2358080808081,-48.5,7.1,76.5,43.77596,40.012,23.7142218826667,1916.3346739216,19.72331,79.769,10,6.29896510486952,23.9995840208565,-0.0550874058060531,-0.0203306457171605,0.0700504535154026,-0.281258204041734,0.0448323694439704,0.0750011691102872,-0.157543591681578,0.0623175413562174,0.141359807394431,-0.0134650922940925,0.00765241632134333,0.0922011104367218,-0.00618142517241441,-0.00225773799046777,0.0312276369964248,-0.0735935688804157,0.000514878828832561,0.0676232383691532,-0.139976234923033,0.0557424438144818,0.240546826343797,-0.173734903995659,0.00580502189398761,0.0829814792725228,-0.0775258499375644,0.0113395410773587,0.136936091068162
95,"95-A-mono-1-S","A",4,"mono",1,"S","CS77197","","","","","","","","","","","","","","","","","","","","MostGerm",20,3.14,29.5,0.13,0.401,"",0.324,0.3279,19,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.572625532088816,91.458333335,91.458333335,91.458333335,91.458333335,91.458333335,96.66666667,96.66666667,96.66666667,96.66666667,96.66666667,0,0,10.41666667,0,4.92892542933891,48.375,-1,8,99,40.93,40.93,0,1675.2649,-3.31,-3.31,1,7.32260312387646,0,0.015490608111842,0.015490608111842,0.015490608111842,0.0497051764222441,0.0497051764222441,0.0497051764222441,0.138749520150307,0.138749520150307,0.138749520150307,0.00491571196899056,0.00491571196899056,0.00491571196899056,-0.00898049346684078,-0.00898049346684078,-0.00898049346684078,0.0570946083551609,0.0570946083551609,0.0570946083551609,0.222619822422452,0.222619822422452,0.222619822422452,-0.0251076620002095,-0.0251076620002095,-0.0251076620002095,0.0292434032172053,0.0292434032172053,0.0292434032172053
96,"96-A-mono-1-S","A",4,"mono",1,"S","CS76360","","","","","","","","","","","","","","","","","","","","HalfGerm",15,2.59,23.7,0.12,0.363,"",0.331,0.273,15,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.522494019104525,60.875,60.875,60.875,60.875,60.875,56,56,56,56,56,0,0,-9.75,0,6.67124573026418,74.8888888888889,31,9,127,41.62,41.62,0,1732.2244,12.87,12.87,1,7.32260312387646,0,-0.0279716378687726,-0.0279716378687726,-0.0279716378687726,0.031625891910973,0.031625891910973,0.031625891910973,0.0315552040801957,0.0315552040801957,0.0315552040801957,0.00567512295383729,0.00567512295383729,0.00567512295383729,-0.00302933659764401,-0.00302933659764401,-0.00302933659764401,-0.0230851922393844,-0.0230851922393844,-0.0230851922393844,-0.0301230844079952,-0.0301230844079952,-0.0301230844079952,-0.00863885860492817,-0.00863885860492817,-0.00863885860492817,-0.00816022251591008,-0.00816022251591008,-0.00816022251591008
97,"97-A-mono-1-C","A",5,"mono",1,"C","CS78848","","","","","","","","","","","","","","","","","","","","FewGerm",1,1.33,33.1,0.19,0.874,"",0.217,NA,0,0,0,0,0,0,"0",0,0,0,0,0,"","","","",NA,81.25,81.25,81.25,81.25,81.25,73,73,73,73,73,0,0,-16.5,0,5.90570318422391,70.25,35,8,141,39.85,39.85,0,1588.0225,-6.04,-6.04,1,7.32260312387646,0,0.571121081156701,0.571121081156701,0.571121081156701,-0.0130008400033856,-0.0130008400033856,-0.0130008400033856,-0.108691989894141,-0.108691989894141,-0.108691989894141,-0.212399934860949,-0.212399934860949,-0.212399934860949,-0.770841723938198,-0.770841723938198,-0.770841723938198,-0.0353885123309103,-0.0353885123309103,-0.0353885123309103,-0.0323960003196606,-0.0323960003196606,-0.0323960003196606,-0.0173699326909925,-0.0173699326909925,-0.0173699326909925,0.0240912447497293,0.0240912447497293,0.0240912447497293
99,"99-A-pred-2-C","A",5,"pred",2,"C","CS76886","CS77028","","","","","","","","","","","","","","","","","","","MostGerm",20,13.27,NA,NA,NA,"",NA,0.3539,19,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.594894948709434,100.500000000825,92.00000000165,109,107.300000000165,93.700000001485,101.958333335,89.66666667,114.25,111.791666667,92.125000003,144.49999997195,302.170138806945,2.91666666835,115.013888837828,7.86343021434607,57.8392857142857,-1,7.5,110,37.77665,36.97133,2.02668844499999,1427.0752852225,21.58085,43.15753,2,6.67541196791345,9.01441819493648,0.00921565628150359,0.234844444156858,0.460473232032213,0.00894480445012475,0.0594291832949299,0.109913562139735,-0.172647617428572,-0.103617366611836,-0.0345871157950989,-0.548774813080697,-0.312409297517237,-0.0760437819537774,0.0667946150955723,0.295980491210581,0.52516636732559,-0.0328484595337846,-0.0124670986672572,0.00791426219927015,-0.0328135494430422,-0.0159266588113847,0.000960231820272687,-0.0218513606091842,-0.0149999961072222,-0.00814863160526014,0.0198964283001819,0.0210859009130438,0.0222753735259057
101,"101-A-mono-1-C","A",5,"mono",1,"C","CS76360","","","","","","","","","","","","","","","","","","","","MostGerm",17,8.77,30.8,0.3,0.998,"",0.301,0.3604,9,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.600333240792145,60.875,60.875,60.875,60.875,60.875,56,56,56,56,56,0,0,-9.75,0,6.67124573026418,74.8888888888889,31,9,127,41.62,41.62,0,1732.2244,12.87,12.87,1,7.32260312387646,0,-0.0279716378687726,-0.0279716378687726,-0.0279716378687726,0.031625891910973,0.031625891910973,0.031625891910973,0.0315552040801957,0.0315552040801957,0.0315552040801957,0.00567512295383729,0.00567512295383729,0.00567512295383729,-0.00302933659764401,-0.00302933659764401,-0.00302933659764401,-0.0230851922393844,-0.0230851922393844,-0.0230851922393844,-0.0301230844079952,-0.0301230844079952,-0.0301230844079952,-0.00863885860492817,-0.00863885860492817,-0.00863885860492817,-0.00816022251591008,-0.00816022251591008,-0.00816022251591008
102,"102-A-mono-1-S","A",5,"mono",1,"S","CS76572","","","","","","","","","","","","","","","","","","","","MostGerm",18,3.89,28.4,0.16,0.524,"",0.305,0.084,0,0,0,0,1,1,"50",50,75,75,75,75,"","","","",0.289827534923789,67.5,67.5,67.5,67.5,67.5,53.25,53.25,53.25,53.25,53.25,0,0,-28.5,0,16.4954042996695,24,-115,2,-46,47.04,47.04,0,2212.7616,10.51,10.51,1,7.32260312387646,0,-0.0345140882368632,-0.0345140882368632,-0.0345140882368632,0.0231570388241502,0.0231570388241502,0.0231570388241502,0.0650638985847172,0.0650638985847172,0.0650638985847172,0.0111286349732464,0.0111286349732464,0.0111286349732464,-0.00219286310981682,-0.00219286310981682,-0.00219286310981682,-0.0728014950514335,-0.0728014950514335,-0.0728014950514335,-0.138944238927769,-0.138944238927769,-0.138944238927769,-0.172404433446377,-0.172404433446377,-0.172404433446377,0.161547685494399,0.161547685494399,0.161547685494399
103,"103-A-mono-1-S","A",5,"mono",1,"S","CS76770","","","","","","","","","","","","","","","","","","","","MostGerm",20,3.11,28.3,0.11,0.306,"",0.359,0.038,3,0,0,1,1,1,"25",25,25,25,25,25,"","","","",0.194935886896179,66.125,66.125,66.125,66.125,66.125,60.25,60.25,60.25,60.25,60.25,0,0,-11.75,0,5.2561606867598,78.1111111111111,-3,9,89,51.4083,51.4083,0,2642.81330889,-0.6383,-0.6383,1,7.32260312387646,0,-0.0335110336657693,-0.0335110336657693,-0.0335110336657693,0.0158671692396509,0.0158671692396509,0.0158671692396509,0.0849762332980378,0.0849762332980378,0.0849762332980378,0.0121520899268695,0.0121520899268695,0.0121520899268695,-0.00335963757223011,-0.00335963757223011,-0.00335963757223011,-0.0398952111940758,-0.0398952111940758,-0.0398952111940758,-0.0669212185066246,-0.0669212185066246,-0.0669212185066246,0.00977657438936144,0.00977657438936144,0.00977657438936144,0.0667704041261511,0.0667704041261511,0.0667704041261511
104,"104-A-mono-1-S","A",5,"mono",1,"S","CS77196","","","","","","","","","","","","","","","","","","","","MostGerm",19,2.15,24.4,0.06,0.223,"",0.269,0.1872,13,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.432666153055679,90.04166666665,90.04166666665,90.04166666665,90.04166666665,90.04166666665,90.75,90.75,90.75,90.75,90.75,0,0,1.4166666667,0,5.49288940801601,37.375,0,8,109,40.4,40.4,0,1632.16,-4.77,-4.77,1,7.32260312387646,0,0.56108906214745,0.56108906214745,0.56108906214745,-0.0377344406791079,-0.0377344406791079,-0.0377344406791079,-0.151883420175294,-0.151883420175294,-0.151883420175294,0.758013438986651,0.758013438986651,0.758013438986651,0.254830797500149,0.254830797500149,0.254830797500149,-0.0353193868784041,-0.0353193868784041,-0.0353193868784041,0.00257439708761312,0.00257439708761312,0.00257439708761312,-0.0227869021843202,-0.0227869021843202,-0.0227869021843202,0.00620886063089216,0.00620886063089216,0.00620886063089216
105,"105-A-mono-1-S","A",5,"mono",1,"S","CS76409","","","","","","","","","","","","","","","","","","","","FewGerm",13,1.83,27.6,0.13,0.321,"",0.405,0.2314,12,0,0,0,0,0,"0",0,0,0,0,0,"","","","",0.481040538832228,88.16666668335,88.16666668335,88.16666668335,88.16666668335,88.16666668335,110.6666667,110.6666667,110.6666667,110.6666667,110.6666667,0,0,45.0000000333,0,6.43585996100691,53.5714285714286,-26,7,82,41.32,41.32,0,1707.3424,-1.34,-1.34,1,7.32260312387646,0,0.0221145309297791,0.0221145309297791,0.0221145309297791,0.0294426743174574,0.0294426743174574,0.0294426743174574,0.0950552080488872,0.0950552080488872,0.0950552080488872,0.00949710404970255,0.00949710404970255,0.00949710404970255,-0.00619378338019543,-0.00619378338019543,-0.00619378338019543,0.0693797107018821,0.0693797107018821,0.0693797107018821,0.182643862565719,0.182643862565719,0.182643862565719,-0.0682792832747793,-0.0682792832747793,-0.0682792832747793,0.0578386760822608,0.0578386760822608,0.0578386760822608
106,"106-A-div-2-S","A",5,"div",2,"S","CS77057","CS76979","","","","","","","","","","","","","","","","","","","MostGerm",18,2.24,NA,NA,NA,"",NA,0.095,4,0,0,1,25,25,"50",50,50,50,50,50,"","","","",0.308220700148449,71.625,53.875,89.375,85.825,57.425,66.375,44.5,88.25,83.875,48.875,630.125,957.03125,-10.5,136.125,4.66478289969583,76.5666666666666,-116,7,59,49.925,48.809,3.89205,2492.505625,45.82,75.204,2,6.76246118411868,6.06229412733252,-0.0472287928120749,-0.0446844340843914,-0.042140075356708,-0.245388150133353,-0.127218891371379,-0.00904963260940505,-0.0565507352793332,0.00134555982692475,0.0592418549331827,-0.0100775317812831,0.0001523228854554,0.0103821775521939,-0.00279515848379936,-0.000922410378064158,0.000950337727671042,-0.0806662286742095,-0.0455448978258068,-0.0104235669774041,-0.15425515386071,-0.066549504455305,0.0211561449500999,-0.108558414378217,-0.0465731683993759,0.0154120775794655,-0.0014837475700997,0.0646272210465565,0.130738189663213
107,"107-A-mono-1-S","A",5,"mono",1,"S","CS76706","","","","","","","","","","","","","","","","","","","","MostGerm",18,3.59,NA,NA,NA,"",NA,0.0694,0,0,1,25,75,75,"75",75,100,100,100,100,"","","","",0.26343879744639,55.625,55.625,55.625,55.625,55.625,45.5,45.5,45.5,45.5,45.5,0,0,-20.25,0,4.94417205022048,64.1111111111111,-36,9,81,48.4,48.4,0,2342.56,8.77,8.77,1,7.32260312387646,0,-0.0368387018780053,-0.0368387018780053,-0.0368387018780053,0.0221737648837639,0.0221737648837639,0.0221737648837639,0.0663683823181285,0.0663683823181285,0.0663683823181285,0.0113035538061065,0.0113035538061065,0.0113035538061065,-0.00138731778307232,-0.00138731778307232,-0.00138731778307232,-0.0557922250036951,-0.0557922250036951,-0.0557922250036951,-0.100964685436528,-0.100964685436528,-0.100964685436528,-0.0818119364899785,-0.0818119364899785,-0.0818119364899785,0.0755967855759362,0.0755967855759362,0.0755967855759362
