"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"233",0.516880429001052,0.516880429001052,0.516880429001052,-0.00367629026107655,-0.00367629026107655,-0.00367629026107655,-0.0173295530909147,-0.0173295530909147,-0.0173295530909147,-0.607866191971562,-0.607866191971562,-0.607866191971562,0.582462836354342,0.582462836354342,0.582462836354342,-0.0379437997504165,-0.0379437997504165,-0.0379437997504165,-0.0370352721009565,-0.0370352721009565,-0.0370352721009565,-0.00643579047976963,-0.00643579047976963,-0.00643579047976963,0.0195990601469665,0.0195990601469665,0.0195990601469665
"440",-0.0509446362709205,-0.0509446362709205,-0.0509446362709205,0.116530666466418,0.116530666466418,0.116530666466418,-0.18146902967405,-0.18146902967405,-0.18146902967405,-0.0141095665974409,-0.0141095665974409,-0.0141095665974409,0.00592181214242676,0.00592181214242676,0.00592181214242676,0.0130977912928943,0.0130977912928943,0.0130977912928943,0.0131007103516828,0.0131007103516828,0.0131007103516828,-0.0362045995394172,-0.0362045995394172,-0.0362045995394172,0.0267649180609915,0.0267649180609915,0.0267649180609915
"2",0.00695035332574338,0.00695035332574338,0.00695035332574338,0.0579094194901542,0.0579094194901542,0.0579094194901542,0.150416013735452,0.150416013735452,0.150416013735452,0.00888143406755532,0.00888143406755532,0.00888143406755532,-0.00458912598546872,-0.00458912598546872,-0.00458912598546872,0.0364197613614173,0.0364197613614173,0.0364197613614173,0.219520672468568,0.219520672468568,0.219520672468568,0.0171619199613907,0.0171619199613907,0.0171619199613907,0.00299955496699301,0.00299955496699301,0.00299955496699301
"9",-0.0471915406873352,-0.0471915406873352,-0.0471915406873352,0.122534656850936,0.122534656850936,0.122534656850936,-0.189905180132756,-0.189905180132756,-0.189905180132756,-0.0169524030629124,-0.0169524030629124,-0.0169524030629124,0.00949814606682009,0.00949814606682009,0.00949814606682009,0.013009602415902,0.013009602415902,0.013009602415902,0.00518195447818705,0.00518195447818705,0.00518195447818705,-0.0235642017346747,-0.0235642017346747,-0.0235642017346747,0.0225727416791211,0.0225727416791211,0.0225727416791211
"368",-0.0418524690771905,-0.0418524690771905,-0.0418524690771905,0.00824865034707254,0.00824865034707254,0.00824865034707254,0.00813019916199586,0.00813019916199586,0.00813019916199586,0.00322265815925676,0.00322265815925676,0.00322265815925676,-0.0015333711375134,-0.0015333711375134,-0.0015333711375134,-0.101326346512137,-0.101326346512137,-0.101326346512137,-0.218523691685583,-0.218523691685583,-0.218523691685583,-0.545725396640819,-0.545725396640819,-0.545725396640819,-0.716990788877132,-0.716990788877132,-0.716990788877132
"439",-0.039614374484466,-0.039614374484466,-0.039614374484466,-0.113188512163449,-0.113188512163449,-0.113188512163449,-0.00030756280707489,-0.00030756280707489,-0.00030756280707489,-0.00187472207566926,-0.00187472207566926,-0.00187472207566926,0.00194045366562835,0.00194045366562835,0.00194045366562835,-0.021346855785206,-0.021346855785206,-0.021346855785206,-0.0716977426705341,-0.0716977426705341,-0.0716977426705341,-0.0830742796391713,-0.0830742796391713,-0.0830742796391713,0.134831112406506,0.134831112406506,0.134831112406506
"367",0.0217302107291336,0.0217302107291336,0.0217302107291336,0.0579046621261571,0.0579046621261571,0.0579046621261571,0.0904144307416119,0.0904144307416119,0.0904144307416119,-0.0114325197987837,-0.0114325197987837,-0.0114325197987837,-0.00148431390957512,-0.00148431390957512,-0.00148431390957512,-0.0261397905143446,-0.0261397905143446,-0.0261397905143446,0.0482778978330039,0.0482778978330039,0.0482778978330039,0.030725570033359,0.030725570033359,0.030725570033359,-0.131827911865245,-0.131827911865245,-0.131827911865245
"392",-0.0451743020745905,-0.0451743020745905,-0.0451743020745905,-0.243194043782594,-0.243194043782594,-0.243194043782594,-0.0588207888535513,-0.0588207888535513,-0.0588207888535513,-0.0109482679859944,-0.0109482679859944,-0.0109482679859944,0.0036111635726989,0.0036111635726989,0.0036111635726989,-0.00193854124278116,-0.00193854124278116,-0.00193854124278116,0.00110899921495988,0.00110899921495988,0.00110899921495988,-0.0156585374925439,-0.0156585374925439,-0.0156585374925439,0.0421838335779235,0.0421838335779235,0.0421838335779235
"362",-0.0510882973831177,-0.0319356435205,0.076011984051547,-0.260565966029615,0.0313048877573255,0.103771492418091,-0.168001385654069,0.0699671448080978,0.119623298294386,-0.0160554901648502,0.00942576264886443,0.0185030570102808,-0.00770811773853872,-0.00287142828132164,0.0062794455348661,-0.0807113744684885,-0.0219866849293634,0.038587103500772,-0.117678501834974,-0.0135140190562584,0.186331543556004,-0.0731016656206459,0.0108730229651167,0.136737396370504,-0.049106266625509,0.0167083968180628,0.0603944217101839
"363",-0.0518022289621969,-0.0518022289621969,-0.0518022289621969,-0.27268995382123,-0.27268995382123,-0.27268995382123,-0.0674687390162533,-0.0674687390162533,-0.0674687390162533,-0.0123254385476372,-0.0123254385476372,-0.0123254385476372,0.00149331926579515,0.00149331926579515,0.00149331926579515,-0.00217294654687165,-0.00217294654687165,-0.00217294654687165,0.0321883112958666,0.0321883112958666,0.0321883112958666,0.0205053261821371,0.0205053261821371,0.0205053261821371,-0.0130828546400045,-0.0130828546400045,-0.0130828546400045
"390",-0.0496063481511493,-0.0391607259695412,0.0700504535154026,-0.275313942813109,-0.00862087929900969,0.0499216186822666,-0.0809344338294623,0.0577754171030273,0.111865664933,-0.0126505402371223,0.008332865705704,0.0922011104367218,-0.00577116051381979,-0.000785847842481959,0.0268270670892304,-0.0591576586419566,-0.0187461667126379,0.0140987457665396,-0.176687286412893,0.0173813541917399,0.0907437655976939,-0.132906233461361,-0.0113867494915702,0.0343915241237735,-0.0175865248131985,0.0202880142364093,0.163833844608139
"213",-0.0288106857721844,-0.0288106857721844,-0.0288106857721844,0.0174647169024855,0.0174647169024855,0.0174647169024855,0.0643730543907319,0.0643730543907319,0.0643730543907319,0.0111718988038184,0.0111718988038184,0.0111718988038184,-0.00354475450081331,-0.00354475450081331,-0.00354475450081331,-0.0279714045088266,-0.0279714045088266,-0.0279714045088266,-0.0552244047124101,-0.0552244047124101,-0.0552244047124101,-0.0159311310544125,-0.0159311310544125,-0.0159311310544125,0.0360983467107309,0.0360983467107309,0.0360983467107309
"120",0.0110422248612845,0.0110422248612845,0.0110422248612845,0.0485822878653471,0.0485822878653471,0.0485822878653471,0.164852392591541,0.164852392591541,0.164852392591541,0.0103891206736961,0.0103891206736961,0.0103891206736961,-0.00385305484220332,-0.00385305484220332,-0.00385305484220332,0.162380908495084,0.162380908495084,0.162380908495084,0.401889861635905,0.401889861635905,0.401889861635905,-0.185709138939201,-0.185709138939201,-0.185709138939201,0.134201469465246,0.134201469465246,0.134201469465246
"383",-0.0333930670423008,-0.0333930670423008,-0.0333930670423008,0.0518695990224693,0.0518695990224693,0.0518695990224693,0.108878569908855,0.108878569908855,0.108878569908855,0.0127018870962017,0.0127018870962017,0.0127018870962017,-0.00541456796348412,-0.00541456796348412,-0.00541456796348412,-0.0478133661503208,-0.0478133661503208,-0.0478133661503208,-0.0496587128660726,-0.0496587128660726,-0.0496587128660726,0.0657397395701519,0.0657397395701519,0.0657397395701519,0.0181957476443146,0.0181957476443146,0.0181957476443146
"331",-0.0345334522197036,-0.0345334522197036,-0.0345334522197036,0.0277868603613392,0.0277868603613392,0.0277868603613392,0.0709525602412247,0.0709525602412247,0.0709525602412247,0.0107678830439528,0.0107678830439528,0.0107678830439528,-0.00287808101160742,-0.00287808101160742,-0.00287808101160742,-0.0216336702481702,-0.0216336702481702,-0.0216336702481702,-0.0426535354418569,-0.0426535354418569,-0.0426535354418569,0.0185026082500195,0.0185026082500195,0.0185026082500195,0.0290437114604544,0.0290437114604544,0.0290437114604544
"436",0.00942675005757157,0.00942675005757157,0.00942675005757157,0.0477880804457238,0.0477880804457238,0.0477880804457238,0.113709364620557,0.113709364620557,0.113709364620557,-0.000961599196957142,-0.000961599196957142,-0.000961599196957142,-0.00154228683010443,-0.00154228683010443,-0.00154228683010443,0.0228923270160332,0.0228923270160332,0.0228923270160332,0.090201440291291,0.090201440291291,0.090201440291291,-0.123344912200661,-0.123344912200661,-0.123344912200661,0.0449160947942765,0.0449160947942765,0.0449160947942765
"200",0.571121081156701,0.571121081156701,0.571121081156701,-0.0130008400033856,-0.0130008400033856,-0.0130008400033856,-0.108691989894141,-0.108691989894141,-0.108691989894141,-0.212399934860949,-0.212399934860949,-0.212399934860949,-0.770841723938198,-0.770841723938198,-0.770841723938198,-0.0353885123309103,-0.0353885123309103,-0.0353885123309103,-0.0323960003196606,-0.0323960003196606,-0.0323960003196606,-0.0173699326909925,-0.0173699326909925,-0.0173699326909925,0.0240912447497293,0.0240912447497293,0.0240912447497293
"202",-0.0414827500610772,-0.0414827500610772,-0.0414827500610772,-0.0599919167402759,-0.0599919167402759,-0.0599919167402759,0.049182451887926,0.049182451887926,0.049182451887926,0.00536217760530147,0.00536217760530147,0.00536217760530147,-0.000184377901891595,-0.000184377901891595,-0.000184377901891595,-0.0543802793902123,-0.0543802793902123,-0.0543802793902123,-0.181238768220381,-0.181238768220381,-0.181238768220381,-0.212569801757261,-0.212569801757261,-0.212569801757261,0.312945059724998,0.312945059724998,0.312945059724998
"209",0.0165920629048263,0.0165920629048263,0.0165920629048263,0.0322108084560258,0.0322108084560258,0.0322108084560258,0.0855497581519276,0.0855497581519276,0.0855497581519276,0.033819359264994,0.033819359264994,0.033819359264994,-0.000947813395332926,-0.000947813395332926,-0.000947813395332926,-0.0350548753909011,-0.0350548753909011,-0.0350548753909011,-0.0287437593792522,-0.0287437593792522,-0.0287437593792522,0.115270615738973,0.115270615738973,0.115270615738973,-0.0268366310402493,-0.0268366310402493,-0.0268366310402493
"230",-0.0391274902019095,-0.0391274902019095,-0.0391274902019095,0.031898089227479,0.031898089227479,0.031898089227479,0.0775881889205643,0.0775881889205643,0.0775881889205643,0.0132325613280364,0.0132325613280364,0.0132325613280364,-0.00397600318417641,-0.00397600318417641,-0.00397600318417641,-0.0384301930102491,-0.0384301930102491,-0.0384301930102491,-0.0579054501772155,-0.0579054501772155,-0.0579054501772155,-0.0096919829339762,-0.0096919829339762,-0.0096919829339762,0.0407872262886807,0.0407872262886807,0.0407872262886807
"232",-0.0635131090933088,-0.0305319570231801,0.562092264048375,-0.313692385751692,-0.00833856513223105,0.128920118390301,-0.214099414184018,-0.090098079312957,0.1212048100553,-0.25194656057201,-0.0144727394944575,0.0943842918393588,-0.0851666165139765,0.000394958603910025,0.287594001385568,-0.0422204365680818,0.000811902393540904,0.0121772793962108,-0.0447486428849646,0.0251657998995098,0.0910154208723463,-0.0230189781659091,0.0243974986846307,0.0777769898084374,-0.0498272407278446,0.00943437019778742,0.0246064605964769
